Planned Release,,,,The Elevation One Plan - Paid,,Family Office - Free,Free Condition / Limitations,Family Office - Paid,,Enterprise - Free,Free Condition / Limitations,Enterprise - Paid,,Investment Firms - Free,Free Condition / Limitations,Investment Firms - Paid,,Consulting Firm Account - Free,Free Condition / Limitations,Consulting Firm Account - Paid,,Individual Account - Free,Free Condition / Limitations,Individual Account - Paid
,,,,,,,,,,,,,,,,,,,,,,,,
,,Core Features,,,,,,,,,,,,,,,,,,,,,,
,,Team management,,x,,,,,,,,,,,,,,,,,,,,
,,Role based access,,x,,,,,,,,,,,,,,,,,,,,
,,Role based experiences,,x,,,,,,,,,,,,,,,,,,,,
,,Files & data management,,x,,,,,,,,,,,,,,,,,,,,
,,Integrations,,x,,,,,,,,,,,,,,,,,,,,
,,Knowledge blocks,,x,,,,,,,,,,,,,,,,,,,,
,,Business allignment,,x,,,,,,,,,,,,,,,,,,,,
,,Project & task management,,x,,,,,,,,,,,,,,,,,,,,
,,Workspaces,,x,,,,,,,,,,,,,,,,,,,,
,,"Library (Prompts, Agents, Flows)",,x,,,,,,,,,,,,,,,,,,,,
,,Data de-identification,,x,,,,,,,,,,,,,,,,,,,,
,,Agent Chat,,x,,,,,,,,,,,,,,,,,,,,
,,AI Insights,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Mobile App,,,,,,,,,,,,,,,,,,,,,,
,,Voice chat,,x,,,,,,,,,,,,,,,,,,,,
,,Quick actions - notes and tasks,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Users,,Based on Package,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Entities,,,,,,,,,,,,,,,,,,,,,,
,,"Operating Entities (FOs, Businesses / Enterprise, Investment Firms, Consulting Firms, etc.)",,Based on Package,,,,,,,,,,,,,,,,,,,,
,,"Non-Operating Entities (SPVs, Funds, HoldCos)",,Based on Package,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Portfolio Management,,,,,,,,,,,,,,,,,,,,,,
,,Private market assets,,x,,,,,,,,,,,,,,,,,,,,
,,Public market assets,,x,,,,,,,,,,,,,,,,,,,,
,,Currency assets,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Liabilities,,,,,,,,,,,,,,,,,,,,,,
,,Private credit,,x,,,,,,,,,,,,,,,,,,,,
,,Credit cards,,x,,,,,,,,,,,,,,,,,,,,
,,Bank LOCs and loans,,x,,,,,,,,,,,,,,,,,,,,
,,Expense reimbursement from portfolio companies,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Investment Mangagement - Equity,,,,,,,,,,,,,,,,,,,,,,
,,Sourcing & deal flow management,,x,,,,,,,,,,,,,,,,,,,,
,,SPV management,,x,,,,,,,,,,,,,,,,,,,,
,,LP management,,x,,,,,,,,,,,,,,,,,,,,
,,Deal pages,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Investment Mangagement - Private Credit,,,,,,,,,,,,,,,,,,,,,,
,,Application management,,x,,,,,,,,,,,,,,,,,,,,
,,Applicant data integration,,x,,,,,,,,,,,,,,,,,,,,
,,Scoring and dilligence support,,x,,,,,,,,,,,,,,,,,,,,
,,Linking to SPVs,,x,,,,,,,,,,,,,,,,,,,,
,,Multiple offer types - debt and factoring,,x,,,,,,,,,,,,,,,,,,,,
,,Vendor management,,x,,,,,,,,,,,,,,,,,,,,
,,Vendor invoice management,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Consulting Firm Management,,,,,,,,,,,,,,,,,,,,,,
,,Client management,,x,,,,,,,,,,,,,,,,,,,,
,,Client projects and tasks,,x,,,,,,,,,,,,,,,,,,,,
,,Client workspaces,,x,,,,,,,,,,,,,,,,,,,,
,,Consulting firm team management,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,People,,,,,,,,,,,,,,,,,,,,,,
,,Embeded experts,,Optional,,,,,,,,,,,,,,,,,,,,
,,Partner network,,Optional,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Concierge Support,,,,,,,,,,,,,,,,,,,,,,
,,Concierge support hours per month,,Based on Package,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Credits,,Based on Package,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Additional,,,,,,,,,,,,,,,,,,,,,,
,,Split billing to multiple entities,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Create. pizza module,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,LIst of Agents,,Check Box,,,,,,,,,,,,,,,,,,,,
,,Cheese,,x,,,Classic Pizza,,,,,,,,,,,,,,,,,
,,Pepperoni,,x,,,Mediteranean Pizza,,,,,,,,,,,,,,,,,
,,Olives,,x,,,,,,,,,,,,,,,,,,,,
,,Tomoatoes,,o,,,Custom,,,,,,,,,,,,,,,,,
,,Basil ,,o,,,,,,,,,,,,,,,,,,,,
,,Anchoivies,,o,,,,,,,,,,,,,,,,,,,,
,,Grlic,,o,,,,,,,,,,,,,,,,,,,,